,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,catlipid_id,max_epo_conc_mean_6hr,max_epo_conc_mean_24hr,canonical_smiles,species,CATLIPID_FAMILY_NAME,MOL_WT,C/C=C\C,C/C=C/C,CC=C(C)C,C=CC,CC#CC,C/C=C(C)/C=C/C=C(C)/C=C/C(C)=C(C)C,CO,COC,COC(C)OC,COC(C)=O,COC(C)OC(C)=O,COC(=O)OC,CNS(C)(=O)=O,CSC(C)=O,COC(=O)SC,CSC,CSSC,CN(C)C,C[N+](C)(C)C,CNC(C)=O,CC(=O)N(C)C,COC(=O)N(C)C,CNC(=N)N,CNC(=O)OC,Cn1ccnn1,C1CNCCN1,C1CCNCC1,NCCOC(=O)cccccc,NCCCOC(=O)COcccccc,NCCCOC(=O)cccccc,NCCCCCOC(=O),NC~C~C~C~C(=O)OC,NC~C~C~C~C(=O)OCC,NC~C~C~C~C(=O)OCCC,NC~C~C~C(=O)OC,NC~C~C~C(=O)OCC,NC~C~C~C(=O)OCCC,NC~C~C(=O)OC,NC~C~C(=O)OCC,NC~C(=O)OC,NC~C(=O)OCC,NCCC(=O)O,NCCOC(=O)c,NCCCOC(=O)C,NC~CSSCC,NC~CSSC,num_tails,max_tail_length,ketone_in_tail,ester_in_tail,hydroxyl_in_tail,double_bonds_per_tail,isopropyl_in_tail,branches_in_tails,oxygen_atom_in_tail,disulfide_bond_in_tail,sulfur_atom_in_tail,glycol_in_lipid,branch_length,cyclopropanes_per_tail,rings_in_tail,lipid_mol,CN(C)CCN,C(CN1CCCC1)CN,CCN(CC)CCCN,CCN(CC)CCN,CN(C)CCCN,C(CN1CCOCC1)CN,CCCCN(CCCC)CCCN,C1CCCN1CCN,CN(CCCN)CCCN,C(CN1CCCCC1)CO,C(CN1CCNCC1)CO
10,10,10,10,RA17138469,35.4,29.2,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1,mice,GOOD,1424.37,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05760>,True,False,False,True,False,False,False,False,False,False,False
11,11,11,11,TBL-1187,35.0,15.1,CCCCCCCCC(O)CN(CCCOC(=O)CN(C)CC(=O)OCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC(O)CCCCCCCC,mice,Bis AIM lipid,886.4,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A056A0>,False,False,False,False,False,False,False,False,False,False,False
12,12,12,12,TBL-1192,35.0,18.7,CCCCCC/C=C\COC(=O)CCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1454.4,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A055E0>,True,False,False,True,False,False,False,False,False,False,False
13,13,13,13,RA17138521,34.7,18.4,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1438.39,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05520>,True,False,False,True,False,False,False,False,False,False,False
14,14,14,14,TBL-1197,33.9,18.3,CCCCCCCCCCC(O)CN(CCCCOC(=O)CN(C)CC(=O)OCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,mice,Bis AIM lipid,1026.6,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05460>,False,False,False,False,False,False,False,False,False,False,False
15,15,15,15,RA17138165,32.9,20.3,CCCCCCCCCCCCC(O)CN(CCCC(=O)OCC1COC(COC(=O)CCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CO1)CC(O)CCCCCCCCCCCC,mice,Glycerol Aldehyde Dimer GAD,1167.85,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,4.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A053A0>,False,False,False,False,False,False,False,False,False,False,False
16,16,16,16,TBL-1215,32.4,18.7,CCCCCCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCN(CC(O)CCCCC(=O)OCC(CC)CC)CC(O)CCCCC(=O)OCC(CC)CC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1217.9,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A052E0>,True,False,False,True,False,False,False,False,False,False,False
17,17,17,17,RA17136009,32.3,25.1,CCCCCCCCCCC(O)CN(CCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1129.9,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05220>,True,False,False,True,False,False,False,False,False,False,False
18,18,18,18,RA17136304,31.5,24.7,CCCCCCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,GOOD,1143.92,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05160>,True,False,False,True,False,False,False,False,False,False,False
19,19,19,19,RA17138675,31.4,25.8,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,mice,GOOD,1436.38,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A050A0>,True,False,False,True,False,False,False,False,False,False,False
20,20,20,20,RA17138972,31.4,23.7,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1308.21,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A057C0>,True,False,False,True,False,False,False,False,False,False,False
21,21,21,21,RA17137379,31.3,18.1,CCCCC/C=C\C/C=C\CCCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCOC(=O)CC1NC(=O)C(CC(=O)OCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC/C=C\C/C=C\CCCCC)NC1=O,mice,Cyclic Amino Acids,1366.2,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,4.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05340>,False,False,False,False,False,False,False,False,False,False,False
22,22,22,22,TBL-1190,30.2,19.4,CCCCCCCCCCC(O)CN(CCCC(=O)O[C@H]1CO[C@@H]2[C@H](OC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CO[C@H]12)CC(O)CCCCCCCCCC,mice,Isosorbide,1053.6,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05700>,False,False,False,False,False,False,False,False,False,False,False
23,23,23,23,RA17136327,29.9,21.5,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1308.21,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05580>,True,False,False,True,False,False,False,False,False,False,False
24,24,24,24,RA17133830,29.3,18.05,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCSSCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,Undefined,1210.03,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B306A05640>,True,False,False,True,False,False,False,False,False,False,False
25,25,25,25,RA17111320,28.06,18.26,CCCCCCCCC(O)CN(CCCCC(=O)OCCC1NC(=O)C(CCOC(=O)CCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NC1=O)CC(O)CCCCCCCC,mice,Undefined,1025.53,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106FA0>,False,False,False,False,False,False,False,False,False,False,False
26,26,26,26,RA17135361,27.76,18.12,CCCCCCCCCCC(O)CN(CCCCC(=O)OCCN1CCN(CCSSCCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCCCCCC,mice,Undefined,1059.76,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106EE0>,True,False,False,True,False,False,False,False,False,False,False
27,27,27,27,RA17132431,27.35,17.78,CCCCCCCCC(O)CN(CCC[C@@H]1NC(=O)[C@@H](CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)NC1=O)CC(O)CCCCCCCC,mice,Undefined,853.352,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106E20>,False,False,False,False,False,False,False,False,False,False,False
28,28,28,28,RA17135422,26.96,15.31,CCCCCCCCCCCCC(O)CN(CCCCSSCCN1CCN(CCOC(=O)CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CC(O)CCCCCCCCCCCC,mice,GOOD,1186.0,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,4.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106D60>,True,False,False,True,False,False,False,False,False,False,False
29,29,29,29,RA17136614,26.5,17.6,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCCN1CCN(CCOC(=O)CCCN(CC(O)CCCCCCCC)CC(O)CCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1252.1,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106CA0>,True,False,False,True,False,False,False,False,False,False,False
30,30,30,30,RA16617078A,25.12,,CCCCCCCC/C=C\CCCCCCCCOCC(OCCCCCCCC/C=C\CCCCCCCC)C(=O)N(CCCCCCCC)CCOCCOCCOCCOCCOC(=O)CNCCOC(=O)CNCCOC,mice,Undefined,,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3.0,19.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106BE0>,False,False,False,False,False,False,False,False,False,False,False
31,31,31,31,RA16559832A,25.12,,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOC(=O)CNCCOC(=O)CNCCOC,mice,Undefined,,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106B20>,False,False,False,False,False,False,False,False,False,False,False
32,32,32,32,RA17137749,25.0,11.4,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCCSSCCCN1CC(C)N(CCOC(=O)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1C)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1322.24,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B307106A60>,True,False,False,True,False,False,False,False,False,False,False
33,33,33,33,RA17139041,24.6,19.9,CCCCCCCC/C=C\CCCCCCC(O)CN(CCCC(=O)OCCN1CCN(CCCCSSCCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1)CC(O)CCCCCC/C=C\CCCCCCCC,mice,GOOD,1364.32,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4.0,17.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.Chem.rdchem.Mol object at 0x000002B3071069A0>,True,False,False,True,False,False,False,False,False,False,False
