index	mols2grid-id-copy	Unnamed:-0.1	Unnamed:-0	catlipid_id	max_epo_conc_mean_6hr	max_epo_conc_mean_24hr	canonical_smiles	species	CATLIPID_FAMILY_NAME	MOL_WT	C/C=C\C	C/C=C/C	CC=C(C)C	C=CC	CC#CC	C/C=C(C)/C=C/C=C(C)/C=C/C(C)=C(C)C	CO	COC	COC(C)OC	COC(C)=O	COC(C)OC(C)=O	COC(=O)OC	CNS(C)(=O)=O	CSC(C)=O	COC(=O)SC	CSC	CSSC	CN(C)C	C[N+](C)(C)C	CNC(C)=O	CC(=O)N(C)C	COC(=O)N(C)C	CNC(=N)N	CNC(=O)OC	Cn1ccnn1	C1CNCCN1	C1CCNCC1	NCCOC(=O)cccccc	NCCCOC(=O)COcccccc	NCCCOC(=O)cccccc	NCCCCCOC(=O)	NC~C~C~C~C(=O)OC	NC~C~C~C~C(=O)OCC	NC~C~C~C~C(=O)OCCC	NC~C~C~C(=O)OC	NC~C~C~C(=O)OCC	NC~C~C~C(=O)OCCC	NC~C~C(=O)OC	NC~C~C(=O)OCC	NC~C(=O)OC	NC~C(=O)OCC	NCCC(=O)O	NCCOC(=O)c	NCCCOC(=O)C	NC~CSSCC	NC~CSSC	num_tails	max_tail_length	ketone_in_tail	ester_in_tail	hydroxyl_in_tail	double_bonds_per_tail	isopropyl_in_tail	branches_in_tails	oxygen_atom_in_tail	disulfide_bond_in_tail	sulfur_atom_in_tail	glycol_in_lipid	branch_length	cyclopropanes_per_tail	rings_in_tail
10	10	388	388	RA17136195	0.83	0.83	COc1cc(C(=O)OCCCNC(=N)N)cc(OC)c1OC(=O)CCO[C@H]1CC[C@@]2(C)C(=CC[C@@H]3C2CC[C@]2(C)C([C@H](C)CCCC(C)C)CC[C@@H]32)C1	mice	CholesterolSyringic hybrids	738.008	true	true	true	true	false	false	true	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	1	19	0	1	0	1	1	0	1	0	0	0	0	0	1
11	11	391	391	RA17137586	0.83	0.06	CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCC(=O)Oc1cc(OC(=O)CCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC)cc(C(=O)OCCCNC(=N)N)c1)CC(O)CCCCCC/C=C\C/C=C\CCCCC	mice	Phenolic Acid	1481.25	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	17	0	0	1	2	0	0	0	0	0	0	0	0	0
12	12	393	393	RA17137604	0.83	0.15	CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	1075.54	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	17	0	1	0	0	0	1	1	0	0	0	8	0	0
13	13	394	394	RA17138718	0.83	0.07	CCCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCCC)CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	792.094	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	1	28	0	1	0	0	0	1	1	0	0	0	10	0	0
14	14	398	398	RA17137662	0.83	0.03	CCCCCCC(=O)OCCCCC(O)CN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCOC(=O)CCCCCC	mice	Phenolic Acid	825.08	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	1	1	0	0	0	1	0	0	0	0	0	0
15	15	408	408	RA17138079	0.8	0.8	CCCCCCCC(CCCCCCC)OC(=O)CCCN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CCCC(=O)OC(CCCCCCC)CCCCCCC	mice	Phenolic Acid	961.401	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true	false	false	false	false	false	false	false	false	false	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	411	411	RA17138177	0.8	0.8	CCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OCCCCC)CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	793.082	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	1	0	0	0	0	1	0	0	0	0	0	0
17	17	414	414	RA17134683	0.8	0.1	CCCCCCCCCC(=O)Oc1cc(C(=O)OCCCN(C)C)cc(OC(=O)CCCCCCCCC)c1OC(=O)CCCCCCCCC	mice	Gallic acid lipids	718.015	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	10	0	1	0	0	0	0	1	0	0	0	0	0	0
18	18	428	428	RA17138756	0.8	0.3	CCCCC/C=C\C/C=C\CCCCCCCC(=O)Oc1cc(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)cc(C(=O)OCCCN(C)C)c1	mice	Dihydroxy Benzene	764.128	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	18	0	1	0	2	0	0	1	0	0	0	0	0	0
19	19	479	479	RA17131313	0.67	0.3	CCCCCCCCCCCCC(O)CN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCCCCCC	mice	Phenolic Acid	793.168	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	0	1	0	0	0	0	0	0	0	0	0	0
20	20	488	488	RA17137615	0.48	0.42	CCCCCCCCOC(=O)CC(CC(=O)OCCCCCCCC)(OC(=O)/C=C/C(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)C(=O)OCCCCCCCC	mice	Trident	892.123	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	3	10	0	1	0	0	0	0	1	0	0	0	0	0	0
21	21	493	493	RA17138532	0.45	0.28	CCCCCCC(CCCC)COC(=O)CC(C)(CC(=O)OCC(CCCC)CCCCCC)OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	864.156	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	10	0	1	0	0	0	1	1	0	0	0	6	0	0
22	22	497	497	RA17136596	0.4	0.5	CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCOC(=O)c1ccc(C(=O)OCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC)cc1)CC(O)CCCCCC/C=C\C/C=C\CCCCC	mice	Phthalic acid lipids	1338.1	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	17	0	0	1	2	0	0	0	0	0	0	0	0	0
23	23	501	501	RA17131748	0.33	0.83	CCCCCCCCCCCCC(O)CN(CCCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCCCCCC	mice	Phenolic Acid	807.194	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	0	1	0	0	0	0	0	0	0	0	0	0
24	24	521	521	RA17136583	0.2	0.4	CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CCCOC(=O)c1cccc(C(=O)OCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC)c1)CC(O)CCCCCC/C=C\C/C=C\CCCCC	mice	Phthalic acid lipids	1338.1	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	4	17	0	0	1	2	0	0	0	0	0	0	0	0	0
25	25	522	522	RA17138183	0.2	0.1	CCCCCC/C=C\COC(=O)CCCN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CCCC(=O)OC(CCCCCCC)CCCCCCC	mice	Phenolic Acid	875.225	true	true	false	true	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true	false	false	false	false	false	false	false	false	false	3	13	0	1	0	0.3333333333333333	0	0	1	0	0	0	0	0	0
26	26	537	537	RA17138545	0.16	0.15	CCCCCCCC(CCC)OC(=O)CC(C)(CC(=O)OC(CCC)CCCCCCC)OC(=O)CCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	836.103	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	10	0	1	0	0	0	1	1	0	0	0	5	0	0
27	27	542	542	RA17131309	0.11	0.83	CCCCCCCCCCC(O)CN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCCCC	mice	Phenolic Acid	737.061	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	11	0	0	1	0	0	0	0	0	0	0	0	0	0
28	28	559	559	RA17132514	0.09	0.83	CCCCCCCCCCC(O)CN(CCCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCCCC	mice	Phenolic Acid	751.088	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	11	0	0	1	0	0	0	0	0	0	0	0	0	0
29	29	564	564	RA17132483	0.07	0.83	CCCCCCCCC(O)CN(CCCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCC	mice	Phenolic Acid	694.982	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0
30	30	566	566	RA17132023	0.07	0.83	CCCCCCCCC(O)CN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC)CC(O)CCCCCCCC	mice	Phenolic Acid	680.955	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0
31	31	594	594	RA17138067	0.01	0.83	CCCCCCC(=O)OCCCCCCN(CCCCCCOC(=O)CCCCCC)CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC	mice	Phenolic Acid	793.082	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	1	0	0	0	0	1	0	0	0	0	0	0
32	32	697	697	RA17134030	0	0.83	CCCCCCCCCCCCC(O)CN(CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN2CCOCC2)cc1OC)CC(O)CCCCCCCCCCCC	mice	Phenolic Acid	835.204	false	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	2	13	0	0	1	0	0	0	0	0	0	0	0	0	0
